,c_code_1,state_name_abb_a,year,num_conflicts,avg_with,avg_against,avg_cum_duration,num_wars,origin_participant_pct,ongoing_2010,revision_pct,avg_hostility_level,revision_type_mode,state_fatality_bin_mode,outcome_mode,settlement_type_mode
927,200,UKG,1915,5,3.4,9.0,1.0164383561643835,4,0.2,0.0,0.2,4.8,N/A,None Value,N/A,N/A
928,210,NTH,1915,1,1.0,1.0,1.2410958904109588,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
929,2,USA,1915,5,1.6,3.0,0.7227397260273973,0,0.8,0.0,0.6,2.6,['N/A' 'Regime/Government'],None Value,['N/A' 'Stalemate'],['N/A' 'None Value']
930,220,FRN,1915,4,4.0,11.0,1.1157534246575342,4,0.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
931,211,BEL,1915,1,4.0,11.0,1.4273972602739726,1,0.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
932,70,MEX,1915,1,1.0,1.0,0.1643835616438356,0,1.0,0.0,0.0,3.0,N/A,None Value,Stalemate,None Value
933,350,GRC,1915,2,2.0,1.0,0.410958904109589,0,1.0,0.0,0.0,2.5,N/A,None Value,['N/A' 'Unclear'],['N/A' 'None Value']
934,360,ROM,1915,1,4.0,11.0,0.2958904109589041,0,0.0,0.0,1.0,4.0,Territory,None Value,N/A,N/A
935,255,GMY,1915,15,2.2,5.133333333333334,0.9598173515981735,5,0.5333333333333333,0.0,0.5333333333333333,4.2,Policy,None Value,N/A,N/A
936,345,YUG,1915,4,3.25,9.0,0.7753424657534247,3,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
937,42,DOM,1915,1,1.0,1.0,1.7726027397260273,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
938,365,RUS,1915,5,3.4,9.4,0.8706849315068493,3,0.0,0.0,0.0,4.2,N/A,None Value,N/A,N/A
939,41,HAI,1915,1,1.0,1.0,0.7452054794520548,0,1.0,0.0,0.0,1.0,N/A,None Value,Yield by for State A,Negotiated
940,710,CHN,1915,1,1.0,1.0,0.6657534246575343,0,1.0,0.0,0.0,1.0,N/A,None Value,Yield by for State A,Negotiated
941,339,ALB,1915,1,1.0,1.0,0.5013698630136987,0,1.0,0.0,0.0,1.0,N/A,,Victory for State B,Imposed
942,235,POR,1915,1,1.0,1.0,0.5643835616438356,0,1.0,0.0,0.0,4.0,N/A,1-25,Stalemate,None Value
943,325,ITA,1915,7,2.2857142857142856,6.142857142857143,0.5409001956947163,1,0.5714285714285714,0.0,0.42857142857142855,3.7142857142857144,N/A,None Value,Stalemate,None Value
944,385,NOR,1915,1,1.0,1.0,0.8657534246575342,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
945,390,DEN,1915,1,1.0,1.0,0.7315068493150685,0,1.0,0.0,0.0,1.0,N/A,None Value,Unclear,None Value
946,740,JPN,1915,3,3.0,7.666666666666667,0.7004566210045662,0,0.3333333333333333,0.0,0.6666666666666666,4.0,['N/A' 'Policy' 'Territory'],None Value,['Unclear' 'Victory for State A' 'Yield by State B'],['Imposed' 'Negotiated' 'None Value']
947,300,AUH,1915,8,3.625,10.0,0.9654109589041096,5,1.0,0.0,0.75,4.5,Policy,None Value,N/A,N/A
948,630,IRN,1915,1,1.0,1.0,1.1287671232876713,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
949,230,SPN,1915,1,1.0,1.0,0.3698630136986301,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
950,160,ARG,1915,1,1.0,1.0,1.0027397260273974,0,1.0,0.0,0.0,1.0,N/A,None Value,Stalemate,None Value
951,380,SWD,1915,2,1.0,1.0,0.8794520547945206,0,1.0,0.0,0.0,2.5,N/A,None Value,['N/A' 'Released (for seizures)'],['N/A' 'None Value']
952,355,BUL,1915,11,2.8181818181818183,6.818181818181818,0.2924034869240349,3,0.45454545454545453,0.0,0.6363636363636364,3.6363636363636362,Territory,None Value,N/A,['N/A' 'None Value']
953,325,ITA,1916,4,4.0,11.0,0.6972602739726027,4,0.0,0.0,0.5,5.0,['N/A' 'Territory'],None Value,N/A,N/A
954,300,AUH,1916,8,3.625,10.125,1.6407534246575342,6,1.0,0.0,0.625,4.375,Policy,None Value,N/A,N/A
955,339,ALB,1916,4,1.0,4.0,0.9945205479452055,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
956,345,YUG,1916,4,4.0,11.0,1.33013698630137,4,1.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
957,200,UKG,1916,6,3.1666666666666665,7.666666666666667,1.5141552511415524,4,0.3333333333333333,0.0,0.16666666666666666,4.666666666666667,N/A,None Value,N/A,N/A
958,220,FRN,1916,7,2.857142857142857,6.714285714285714,1.3761252446183954,4,0.42857142857142855,0.0,0.2857142857142857,4.571428571428571,N/A,None Value,N/A,N/A
959,160,ARG,1916,1,1.0,1.0,0.08493150684931507,0,1.0,0.0,0.0,1.0,N/A,None Value,Released (for seizures),None Value
960,360,ROM,1916,5,3.4,9.0,0.47452054794520543,4,0.2,0.0,0.6,4.8,Territory,None Value,N/A,N/A
961,70,MEX,1916,2,1.0,1.0,0.4095890410958904,0,1.0,0.0,0.0,2.5,N/A,None Value,['N/A' 'Unclear'],['N/A' 'Unclear']
962,42,DOM,1916,2,1.0,1.0,1.3904109589041096,0,1.0,0.0,0.0,1.0,N/A,None Value,['N/A' 'Victory for State B'],['Imposed' 'N/A']
963,640,TUR,1916,9,3.2222222222222223,8.0,1.3838660578386606,6,0.2222222222222222,0.0,0.2222222222222222,4.0,N/A,None Value,N/A,N/A
964,365,RUS,1916,4,4.0,11.0,1.9671232876712328,4,0.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
965,2,USA,1916,5,1.6,3.0,1.0915068493150684,0,0.8,0.0,0.4,3.4,N/A,None Value,N/A,N/A
966,210,NTH,1916,1,1.0,1.0,2.243835616438356,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
967,380,SWD,1916,1,1.0,1.0,2.175342465753425,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
968,385,NOR,1916,1,1.0,1.0,1.8684931506849316,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
969,740,JPN,1916,1,1.0,1.0,0.4191780821917808,0,1.0,0.0,1.0,4.0,Policy,None Value,N/A,N/A
970,211,BEL,1916,1,4.0,11.0,2.43013698630137,1,0.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
971,355,BUL,1916,8,3.5,8.875,1.0328767123287672,6,0.25,0.0,0.375,4.375,N/A,None Value,N/A,N/A
972,630,IRN,1916,1,1.0,1.0,2.1315068493150684,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
973,350,GRC,1916,6,2.3333333333333335,1.0,0.6543378995433791,0,1.0,0.0,0.0,3.5,N/A,None Value,N/A,N/A
974,235,POR,1916,2,4.0,11.0,0.6794520547945205,0,0.0,0.0,0.0,4.0,N/A,None Value,['N/A' 'Unclear'],['N/A' 'None Value']
975,230,SPN,1916,1,1.0,1.0,1.3726027397260274,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
976,255,GMY,1916,17,2.7058823529411766,6.470588235294118,1.3640612409347301,7,0.4117647058823529,0.0,0.35294117647058826,3.764705882352941,N/A,None Value,N/A,N/A
977,710,CHN,1916,1,1.0,1.0,0.4191780821917808,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
978,200,UKG,1917,6,3.3333333333333335,7.666666666666667,2.3164383561643835,4,0.3333333333333333,0.0,0.3333333333333333,4.666666666666667,N/A,None Value,N/A,N/A
979,160,ARG,1917,1,1.0,1.0,0.2191780821917808,0,1.0,0.0,0.0,1.0,N/A,None Value,Unclear,None Value
980,350,GRC,1917,9,3.2222222222222223,5.444444444444445,0.8831050228310502,4,0.5555555555555556,0.0,0.2222222222222222,4.444444444444445,N/A,None Value,N/A,N/A
981,800,THI,1917,2,1.0,2.0,0.4465753424657534,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
982,91,HON,1917,1,1.0,1.0,0.5397260273972603,0,1.0,0.0,1.0,4.0,Territory,None Value,Compromise,Negotiated
983,355,BUL,1917,9,3.5555555555555554,9.11111111111111,1.7972602739726027,7,0.2222222222222222,0.0,0.4444444444444444,4.444444444444445,N/A,None Value,N/A,N/A
984,255,GMY,1917,21,2.5238095238095237,6.0,1.9106327462491848,10,0.47619047619047616,0.0,0.38095238095238093,3.6666666666666665,N/A,None Value,N/A,N/A
985,90,GUA,1917,1,1.0,1.0,0.5397260273972603,0,1.0,0.0,1.0,3.0,Territory,None Value,Compromise,Negotiated
986,70,MEX,1917,1,1.0,1.0,0.915068493150685,0,1.0,0.0,0.0,4.0,N/A,,Victory for State B,None Value
987,42,DOM,1917,1,1.0,1.0,0.5013698630136987,0,1.0,0.0,0.0,1.0,N/A,,Victory for State B,Imposed
988,640,TUR,1917,10,3.3,8.3,2.062191780821918,7,0.2,0.0,0.2,4.1,N/A,None Value,N/A,N/A
989,360,ROM,1917,4,4.0,11.0,1.526027397260274,4,0.0,0.0,0.75,5.0,Territory,"1,000+",Victory for State B,Imposed
990,345,YUG,1917,4,4.0,11.0,2.33013698630137,4,1.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
991,365,RUS,1917,6,4.333333333333333,7.666666666666667,2.0013698630136987,4,0.3333333333333333,0.0,0.0,4.666666666666667,N/A,None Value,N/A,N/A
992,2,USA,1917,6,2.6666666666666665,6.0,0.597716894977169,1,0.5,0.0,0.5,3.6666666666666665,N/A,None Value,['Stalemate' 'Victory for State A'],None Value
993,710,CHN,1917,4,1.0,1.5,0.5123287671232877,0,1.0,0.0,0.25,4.0,N/A,None Value,N/A,N/A
994,210,NTH,1917,1,1.0,1.0,3.243835616438356,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
995,40,CUB,1917,1,1.0,1.0,0.7452054794520548,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
996,380,SWD,1917,3,1.6666666666666667,1.0,1.2776255707762556,0,1.0,0.0,0.0,2.0,N/A,None Value,Released (for seizures),Negotiated
997,385,NOR,1917,1,1.0,1.0,2.8684931506849316,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
998,230,SPN,1917,1,1.0,1.0,2.372602739726027,0,1.0,0.0,0.0,1.0,N/A,None Value,N/A,N/A
999,211,BEL,1917,1,4.0,11.0,3.43013698630137,1,0.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
1000,235,POR,1917,1,4.0,11.0,1.8575342465753424,1,0.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
1001,339,ALB,1917,4,1.0,4.0,1.9945205479452055,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
1002,740,JPN,1917,2,5.0,1.0,0.40821917808219177,0,1.0,0.0,1.0,4.0,['Policy' 'Regime/Government'],['1-25' 'None Value'],['N/A' 'Stalemate'],['N/A' 'Negotiated']
1003,220,FRN,1917,5,3.6,9.0,2.707397260273973,4,0.2,0.0,0.2,4.8,N/A,None Value,N/A,N/A
1004,300,AUH,1917,12,3.25,8.916666666666666,1.7431506849315068,7,0.9166666666666666,0.0,0.5,3.4166666666666665,N/A,None Value,N/A,N/A
1005,325,ITA,1917,4,4.0,11.0,1.6972602739726028,4,0.0,0.0,0.5,5.0,['N/A' 'Territory'],None Value,N/A,N/A
1006,630,IRN,1917,1,1.0,1.0,2.350684931506849,0,1.0,0.0,0.0,4.0,N/A,,Yield by for State A,None Value
1007,140,BRA,1917,1,1.0,1.0,0.7424657534246575,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
1008,235,POR,1918,1,4.0,11.0,2.723287671232877,1,0.0,0.0,0.0,5.0,N/A,"1,000+",Victory for State A,Imposed
1009,640,TUR,1918,8,3.25,8.875,2.658904109589041,6,0.25,0.0,0.25,4.375,N/A,"1,000+",Victory for State B,Imposed
1010,300,AUH,1918,11,2.909090909090909,7.909090909090909,2.506849315068493,7,0.9090909090909091,0.0,0.5454545454545454,3.5454545454545454,N/A,"1,000+",Victory for State B,Imposed
1011,325,ITA,1918,6,4.666666666666667,7.666666666666667,1.789041095890411,4,0.16666666666666666,0.0,0.6666666666666666,4.666666666666667,Territory,"1,000+",Victory for State A,Imposed
1012,70,MEX,1918,1,1.0,1.0,0.03561643835616438,0,1.0,0.0,0.0,4.0,N/A,,Stalemate,None Value
1013,90,GUA,1918,1,1.0,1.0,0.5561643835616439,0,1.0,0.0,0.0,4.0,N/A,None Value,Unclear,None Value
1014,360,ROM,1918,3,3.6666666666666665,1.0,0.10228310502283106,0,0.6666666666666666,0.0,0.6666666666666666,4.0,['N/A' 'Regime/Government' 'Territory'],['1-25' 'None Value'],['N/A' 'Stalemate' 'Victory for State A'],['N/A' 'Negotiated' 'None Value']
1015,355,BUL,1918,6,3.5,9.833333333333334,2.5264840182648403,5,0.16666666666666666,0.0,0.3333333333333333,4.333333333333333,N/A,"1,000+",Victory for State B,Imposed
1016,150,PAR,1918,1,1.0,1.0,0.16712328767123288,0,1.0,0.0,1.0,1.0,Territory,None Value,Stalemate,None Value
1017,91,HON,1918,2,1.0,1.0,0.32465753424657534,0,1.0,0.0,0.0,3.5,N/A,None Value,['Stalemate' 'Unclear'],['Negotiated' 'None Value']
1018,220,FRN,1918,6,4.666666666666667,7.666666666666667,2.736529680365297,4,0.16666666666666666,0.0,0.16666666666666666,4.666666666666667,N/A,"1,000+",Victory for State A,Imposed
1019,630,IRN,1918,1,1.0,1.0,0.0027397260273972603,0,1.0,0.0,1.0,4.0,Policy,None Value,Stalemate,None Value
1020,365,RUS,1918,20,4.25,3.35,0.881917808219178,6,0.65,0.0,0.25,3.8,N/A,None Value,N/A,N/A
1021,366,EST,1918,1,1.0,4.0,0.1095890410958904,1,1.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
1022,367,LAT,1918,1,1.0,6.0,0.0821917808219178,1,1.0,0.0,0.0,5.0,N/A,None Value,N/A,N/A
1023,2,USA,1918,4,4.5,6.0,0.9342465753424658,2,0.25,0.0,0.5,4.5,['N/A' 'Regime/Government'],"['1,000+' '1-25' 'None Value']",Victory for State B,Imposed
1024,368,LIT,1918,1,1.0,2.0,0.13972602739726028,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
1025,375,FIN,1918,1,1.0,4.0,0.052054794520547946,0,0.0,0.0,0.0,3.0,N/A,None Value,N/A,N/A
1026,210,NTH,1918,1,1.0,1.0,3.9013698630136986,0,1.0,0.0,0.0,1.0,N/A,None Value,Unclear,None Value
1027,40,CUB,1918,1,1.0,1.0,1.610958904109589,0,1.0,0.0,0.0,4.0,N/A,None Value,Unclear,None Value
1028,710,CHN,1918,3,1.0,1.6666666666666667,1.253881278538813,0,1.0,0.0,0.0,4.0,N/A,None Value,Unclear,None Value
1029,380,SWD,1918,2,1.0,1.0,2.0616438356164384,0,1.0,0.0,0.5,3.5,['N/A' 'Policy'],None Value,['Unclear' 'Yield by State B'],['Imposed' 'None Value']
1030,385,NOR,1918,1,1.0,1.0,2.9013698630136986,0,1.0,0.0,0.0,1.0,N/A,None Value,Unclear,None Value
1031,230,SPN,1918,1,1.0,1.0,3.2383561643835614,0,1.0,0.0,0.0,1.0,N/A,None Value,Unclear,None Value
1032,211,BEL,1918,1,4.0,11.0,4.295890410958904,1,0.0,0.0,0.0,5.0,N/A,"1,000+",Victory for State B,Imposed
1033,800,THI,1918,2,1.0,2.0,1.3013698630136987,0,1.0,0.0,0.0,4.0,N/A,None Value,Unclear,None Value
1034,350,GRC,1918,5,5.0,9.0,1.0772602739726027,4,0.0,0.0,0.6,4.8,N/A,"1,000+",Victory for State A,Imposed
1035,255,GMY,1918,23,2.1739130434782608,5.173913043478261,2.3494937462775463,9,0.6086956521739131,0.0,0.34782608695652173,3.347826086956522,N/A,None Value,Unclear,None Value
1036,200,UKG,1918,7,3.857142857142857,7.428571428571429,2.475146771037182,5,0.14285714285714285,0.0,0.2857142857142857,4.714285714285714,N/A,"1,000+",Victory for State A,Imposed
1037,140,BRA,1918,1,1.0,1.0,1.6082191780821917,0,1.0,0.0,0.0,4.0,N/A,None Value,Unclear,None Value
1038,345,YUG,1918,6,3.3333333333333335,7.666666666666667,2.1392694063926943,4,1.0,0.0,0.16666666666666666,4.666666666666667,N/A,"1,000+",Victory for State A,Imposed
1039,93,NIC,1918,3,1.0,1.6666666666666667,0.39086757990867577,0,1.0,0.0,0.3333333333333333,4.0,N/A,None Value,Unclear,None Value
1040,740,JPN,1918,2,5.0,1.0,0.9328767123287671,0,1.0,0.0,1.0,4.0,['Policy' 'Regime/Government'],None Value,N/A,N/A
1041,339,ALB,1918,7,1.8571428571428572,2.7142857142857144,1.6755381604696673,0,1.0,0.0,0.0,2.7142857142857144,N/A,None Value,Unclear,None Value
1042,145,BOL,1918,1,1.0,1.0,0.16712328767123288,0,1.0,0.0,1.0,3.0,Territory,None Value,Stalemate,None Value
1043,345,YUG,1919,2,3.5,1.0,0.25616438356164384,0,0.5,0.0,1.0,4.0,Territory,,['Compromise' 'Victory for State A'],['Imposed' 'Negotiated']
1044,360,ROM,1919,2,7.5,1.0,0.33287671232876714,1,0.0,0.0,1.0,4.5,['Regime/Government' 'Territory'],"1,000+",['Victory for State A' 'Victory for State B'],['Imposed' 'None Value']
1045,390,DEN,1919,1,1.0,4.0,0.5013698630136987,0,0.0,0.0,0.0,4.0,N/A,26-100,Victory for State A,Negotiated
1046,230,SPN,1919,1,1.0,1.0,0.0027397260273972603,0,1.0,0.0,0.0,4.0,N/A,None Value,Unclear,Unclear
1047,70,MEX,1919,1,1.0,1.0,0.5452054794520548,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
1048,366,EST,1919,3,1.0,5.0,0.8557077625570776,3,0.3333333333333333,0.0,0.0,5.0,N/A,None Value,N/A,N/A
1049,305,AUS,1919,1,1.0,1.0,0.10684931506849316,0,1.0,0.0,0.0,4.0,N/A,,Compromise,Negotiated
1050,365,RUS,1919,23,3.4347826086956523,2.6956521739130435,0.9812983918999404,8,0.8260869565217391,0.0,0.5217391304347826,4.217391304347826,N/A,None Value,N/A,N/A
1051,220,FRN,1919,5,3.8,2.8,0.7063013698630137,2,0.4,0.0,0.6,4.4,['N/A' 'Territory'],None Value,N/A,N/A
1052,200,UKG,1919,5,3.8,2.8,1.115068493150685,1,0.4,0.0,0.6,4.2,['N/A' 'Regime/Government'],None Value,N/A,N/A
1053,380,SWD,1919,1,1.0,4.0,0.3287671232876712,0,0.0,0.0,0.0,4.0,N/A,26-100,Victory for State A,Negotiated
1054,375,FIN,1919,2,1.0,2.5,0.8273972602739726,1,0.5,0.0,0.5,4.5,['N/A' 'Territory'],None Value,N/A,N/A
1055,367,LAT,1919,2,1.0,5.5,0.9191780821917809,2,1.0,0.0,0.0,5.0,N/A,None Value,['N/A' 'Victory for State A'],['N/A' 'Negotiated']
1056,310,HUN,1919,6,6.0,1.0,0.39497716894977164,2,1.0,0.0,0.0,4.333333333333333,N/A,"1,000+",Victory for State B,Imposed
1057,315,CZE,1919,2,3.5,1.0,0.21095890410958903,1,0.5,0.0,1.0,4.5,Territory,"1,000+",['Compromise' 'Victory for State A'],['Imposed' 'Negotiated']
1058,255,GMY,1919,7,1.2857142857142858,4.571428571428571,0.4418786692759295,3,0.8571428571428571,0.0,0.7142857142857143,4.0,Territory,['26-100' 'None Value'],Victory for State B,Negotiated
1059,350,GRC,1919,2,5.0,1.0,0.4849315068493151,1,0.5,0.0,1.0,4.5,['Regime/Government' 'Territory'],None Value,['N/A' 'Victory for State B'],['N/A' 'None Value']
1060,710,CHN,1919,4,1.0,1.0,0.4315068493150685,0,1.0,0.0,0.25,2.25,N/A,None Value,Stalemate,None Value
1061,368,LIT,1919,2,1.0,1.5,0.9424657534246575,0,1.0,0.0,0.0,4.0,N/A,['501-999' 'None Value'],N/A,N/A
1062,740,JPN,1919,5,2.6,1.0,0.7506849315068493,0,1.0,0.0,0.8,3.6,Policy,None Value,Stalemate,None Value
1063,640,TUR,1919,3,1.0,1.0,0.502283105022831,2,1.0,0.0,0.0,4.666666666666667,N/A,None Value,N/A,N/A
1064,325,ITA,1919,3,5.333333333333333,1.0,0.8684931506849315,0,0.6666666666666666,0.0,0.6666666666666666,4.0,['N/A' 'Regime/Government' 'Territory'],None Value,N/A,N/A
1065,2,USA,1919,2,5.0,1.0,1.2575342465753425,0,0.5,0.0,0.5,4.0,['N/A' 'Regime/Government'],None Value,N/A,N/A
1066,290,POL,1919,5,1.0,2.0,0.5835616438356165,1,0.6,0.0,0.6,4.2,Territory,None Value,N/A,N/A
1067,290,POL,1920,4,1.0,2.5,1.3075342465753426,3,0.5,0.0,0.5,4.75,['N/A' 'Territory'],"['1,000+' '501-999']",Victory for State B,Negotiated
1068,368,LIT,1920,2,1.0,1.5,1.710958904109589,1,1.0,0.0,0.0,4.5,N/A,501-999,['N/A' 'Victory for State A'],['N/A' 'Negotiated']
1069,365,RUS,1920,23,2.739130434782609,2.5217391304347827,1.2214413341274568,8,0.8260869565217391,0.0,0.5217391304347826,3.9565217391304346,N/A,"1,000+",Victory for State B,Negotiated
1070,220,FRN,1920,5,3.0,2.2,0.9052054794520548,2,0.6,0.0,0.8,4.4,Policy,None Value,Victory for State B,None Value
1071,135,PER,1920,1,1.0,2.0,0.07945205479452055,0,0.0,0.0,0.0,4.0,N/A,,Stalemate,None Value
1072,339,ALB,1920,1,1.0,1.0,0.14520547945205478,0,1.0,0.0,1.0,1.0,Policy,None Value,Yield by State B,Negotiated
1073,211,BEL,1920,1,1.0,2.0,0.0027397260273972603,0,0.0,0.0,0.0,2.0,N/A,None Value,Victory for State B,Imposed
1074,366,EST,1920,2,1.0,5.0,1.0232876712328767,2,0.5,0.0,0.0,5.0,N/A,"1,000+",Victory for State A,Negotiated
1075,2,USA,1920,2,5.0,1.0,1.463013698630137,0,0.5,0.0,0.5,4.0,['N/A' 'Regime/Government'],None Value,['Stalemate' 'Victory for State B'],None Value
1076,367,LAT,1920,1,1.0,6.0,1.1726027397260275,1,1.0,0.0,0.0,5.0,N/A,"1,000+",Victory for State A,Negotiated
1077,710,CHN,1920,1,1.0,1.0,0.40273972602739727,0,1.0,0.0,0.0,1.0,N/A,None Value,Stalemate,None Value
1078,375,FIN,1920,2,1.0,2.5,1.3904109589041096,1,0.5,0.0,0.5,4.5,['N/A' 'Territory'],26-100,['Compromise' 'Victory for State A'],Negotiated
1079,70,MEX,1920,1,1.0,1.0,0.7013698630136986,0,1.0,0.0,0.0,4.0,N/A,None Value,Stalemate,None Value
1080,91,HON,1920,1,1.0,1.0,0.07671232876712329,0,1.0,0.0,0.0,3.0,N/A,None Value,Compromise,Negotiated
1081,155,CHL,1920,2,1.0,2.0,0.09315068493150686,0,1.0,0.0,1.0,4.0,Territory,,Stalemate,None Value
1082,93,NIC,1920,1,1.0,1.0,0.07671232876712329,0,1.0,0.0,1.0,1.0,Regime/Government,None Value,Compromise,Negotiated
1083,640,TUR,1920,6,2.0,1.0,0.9730593607305936,2,1.0,0.0,0.0,2.8333333333333335,N/A,None Value,['N/A' 'Stalemate'],['N/A' 'None Value']
1084,255,GMY,1920,2,1.0,2.0,0.14657534246575343,0,1.0,0.0,0.0,3.0,N/A,None Value,Victory for State A,Imposed
1085,325,ITA,1920,4,3.5,1.0,1.0082191780821919,0,0.75,0.0,0.75,4.0,['N/A' 'Policy' 'Regime/Government' 'Territory'],None Value,['N/A' 'Stalemate' 'Victory for State B' 'Yield by for State A'],None Value
1086,740,JPN,1920,4,3.0,1.0,1.05,0,1.0,0.0,1.0,4.0,Policy,None Value,N/A,['N/A' 'None Value']
1087,630,IRN,1920,1,1.0,2.0,0.6520547945205479,0,1.0,0.0,0.0,4.0,N/A,None Value,N/A,N/A
1088,200,UKG,1920,7,2.4285714285714284,1.8571428571428572,0.901761252446184,1,0.5714285714285714,0.0,0.7142857142857143,3.857142857142857,Regime/Government,None Value,Victory for State B,None Value
1089,350,GRC,1920,1,1.0,1.0,1.6657534246575343,1,1.0,0.0,1.0,5.0,Territory,None Value,N/A,N/A
1090,145,BOL,1920,1,1.0,2.0,0.10684931506849316,0,1.0,0.0,1.0,1.0,Territory,None Value,Stalemate,None Value
1091,350,GRC,1921,1,1.0,1.0,2.665753424657534,1,1.0,0.0,1.0,5.0,Territory,None Value,N/A,N/A
1092,325,ITA,1921,2,2.5,1.0,0.9410958904109589,0,0.5,0.0,0.5,3.0,['N/A' 'Territory'],None Value,['Compromise' 'Victory for State B'],Negotiated
1093,368,LIT,1921,1,1.0,1.0,2.021917808219178,0,1.0,0.0,0.0,5.0,N/A,501-999,Stalemate,Negotiated
1094,95,PAN,1921,2,2.0,1.0,0.541095890410959,0,1.0,0.0,1.0,4.0,Territory,,Yield by for State A,None Value
1095,220,FRN,1921,2,2.5,1.0,1.3273972602739725,1,1.0,0.0,1.0,4.5,['Policy' 'Territory'],"['1,000+' 'None Value']",['Compromise' 'Yield by for State A'],Negotiated
1096,255,GMY,1921,5,3.4,1.0,0.5287671232876713,0,1.0,0.0,0.0,1.6,N/A,None Value,Compromise,Negotiated
1097,367,LAT,1921,1,1.0,2.0,0.42191780821917807,0,1.0,0.0,0.0,1.0,N/A,None Value,Stalemate,None Value
1098,310,HUN,1921,1,1.0,1.0,0.12876712328767123,0,1.0,0.0,1.0,4.0,Territory,,Yield by State B,Negotiated
1099,40,CUB,1921,1,1.0,1.0,0.0027397260273972603,0,1.0,0.0,0.0,1.0,N/A,None Value,Yield by for State A,Negotiated
1100,345,YUG,1921,1,1.0,1.0,0.20273972602739726,0,1.0,0.0,0.0,4.0,N/A,,Compromise,Negotiated
1101,740,JPN,1921,2,1.0,1.0,1.5808219178082192,0,1.0,0.0,1.0,4.0,Policy,None Value,['N/A' 'Yield by State B'],['N/A' 'Negotiated']
1102,2,USA,1921,3,1.3333333333333333,1.0,0.20639269406392693,0,0.6666666666666666,0.0,0.6666666666666666,2.6666666666666665,Policy,None Value,Yield by State B,None Value
1103,339,ALB,1921,1,1.0,1.0,0.20273972602739726,0,1.0,0.0,1.0,4.0,Policy,,Compromise,Negotiated
1104,366,EST,1921,1,1.0,2.0,0.42191780821917807,0,1.0,0.0,0.0,1.0,N/A,None Value,Stalemate,None Value
1105,150,PAR,1921,1,1.0,1.0,0.25205479452054796,0,1.0,0.0,1.0,3.0,Territory,None Value,Stalemate,None Value
1106,211,BEL,1921,1,4.0,1.0,0.6794520547945205,0,1.0,0.0,0.0,4.0,N/A,None Value,Compromise,Negotiated
1107,305,AUS,1921,1,1.0,1.0,0.12876712328767123,0,1.0,0.0,0.0,4.0,N/A,,Yield by for State A,Negotiated
1108,92,SAL,1921,1,1.0,1.0,0.08493150684931507,0,1.0,0.0,0.0,1.0,N/A,None Value,Stalemate,None Value
1109,365,RUS,1921,9,1.0,1.4444444444444444,0.7242009132420091,0,1.0,0.0,0.7777777777777778,2.7777777777777777,Policy,None Value,Stalemate,None Value
1110,200,UKG,1921,2,2.5,1.5,0.7287671232876712,0,0.5,0.0,0.0,4.0,N/A,None Value,['Compromise' 'Stalemate'],['Negotiated' 'None Value']
1111,290,POL,1921,2,1.0,1.0,1.3123287671232877,0,1.0,0.0,1.0,4.5,Territory,501-999,['Compromise' 'Stalemate'],Negotiated
1112,710,CHN,1921,2,1.0,1.0,0.3356164383561644,0,1.0,0.0,0.0,1.0,N/A,None Value,['N/A' 'Victory for State B'],['Imposed' 'N/A']
1113,630,IRN,1921,1,1.0,2.0,0.8054794520547945,0,1.0,0.0,0.0,4.0,N/A,,Stalemate,None Value
