,c_code_1,state_name_1,year,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties
86,267,Baden,1821,7,7,0,7,0,7.0,7.0
87,235,Portugal,1821,1,1,1,1,0,1.0,0.0
88,300,Austria-Hungary,1821,11,11,0,11,0,7.0,11.0
89,269,Saxony,1821,7,7,0,7,0,7.0,7.0
90,255,Germany,1821,10,10,0,10,0,7.0,10.0
91,365,Russia,1821,3,3,0,3,0,0.0,3.0
92,337,Tuscany,1821,1,1,0,1,0,0.0,1.0
93,200,United Kingdom,1822,5,5,1,4,0,1.0,4.0
94,275,Hesse Grand Ducal,1822,7,7,0,7,0,7.0,7.0
95,235,Portugal,1822,1,1,1,1,0,1.0,0.0
96,267,Baden,1822,7,7,0,7,0,7.0,7.0
97,300,Austria-Hungary,1822,11,11,0,11,0,7.0,11.0
98,245,Bavaria,1822,7,7,0,7,0,7.0,7.0
99,269,Saxony,1822,7,7,0,7,0,7.0,7.0
100,380,Sweden,1822,1,1,0,0,0,0.0,1.0
101,273,Hesse Electoral,1822,7,7,0,7,0,7.0,7.0
102,255,Germany,1822,10,10,0,10,0,7.0,10.0
103,365,Russia,1822,3,3,0,3,0,0.0,3.0
104,337,Tuscany,1822,1,1,0,1,0,0.0,1.0
105,271,Wuerttemburg,1822,7,7,0,7,0,7.0,7.0
106,273,Hesse Electoral,1823,7,7,0,7,0,7.0,7.0
107,245,Bavaria,1823,7,7,0,7,0,7.0,7.0
108,337,Tuscany,1823,1,1,0,1,0,0.0,1.0
109,200,United Kingdom,1823,2,2,1,1,0,1.0,1.0
110,255,Germany,1823,7,7,0,7,0,7.0,7.0
111,271,Wuerttemburg,1823,7,7,0,7,0,7.0,7.0
112,235,Portugal,1823,1,1,1,1,0,1.0,0.0
113,380,Sweden,1823,1,1,0,0,0,0.0,1.0
114,267,Baden,1823,7,7,0,7,0,7.0,7.0
115,269,Saxony,1823,7,7,0,7,0,7.0,7.0
116,275,Hesse Grand Ducal,1823,7,7,0,7,0,7.0,7.0
117,300,Austria-Hungary,1823,8,8,0,8,0,7.0,8.0
118,337,Tuscany,1824,1,1,0,1,0,0.0,1.0
119,380,Sweden,1824,1,1,0,0,0,0.0,1.0
120,269,Saxony,1824,7,7,0,7,0,7.0,7.0
121,235,Portugal,1824,1,1,1,1,0,1.0,0.0
122,300,Austria-Hungary,1824,8,8,0,8,0,7.0,8.0
123,200,United Kingdom,1824,2,2,1,1,0,1.0,1.0
124,271,Wuerttemburg,1824,7,7,0,7,0,7.0,7.0
125,245,Bavaria,1824,7,7,0,7,0,7.0,7.0
126,255,Germany,1824,7,7,0,7,0,7.0,7.0
127,267,Baden,1824,7,7,0,7,0,7.0,7.0
128,275,Hesse Grand Ducal,1824,7,7,0,7,0,7.0,7.0
129,273,Hesse Electoral,1824,7,7,0,7,0,7.0,7.0
130,200,United Kingdom,1825,2,2,1,1,0,1.0,1.0
131,300,Austria-Hungary,1825,8,8,0,8,0,7.0,8.0
132,337,Tuscany,1825,1,1,0,1,0,0.0,1.0
133,235,Portugal,1825,1,1,1,1,0,1.0,0.0
134,275,Hesse Grand Ducal,1825,7,7,0,7,0,7.0,7.0
135,245,Bavaria,1825,7,7,0,7,0,7.0,7.0
136,271,Wuerttemburg,1825,7,7,0,7,0,7.0,7.0
137,269,Saxony,1825,7,7,0,7,0,7.0,7.0
138,255,Germany,1825,7,7,0,7,0,7.0,7.0
139,267,Baden,1825,7,7,0,7,0,7.0,7.0
140,380,Sweden,1825,1,1,0,0,0,0.0,1.0
141,273,Hesse Electoral,1825,7,7,0,7,0,7.0,7.0
142,275,Hesse Grand Ducal,1826,7,7,0,7,0,7.0,7.0
143,235,Portugal,1826,1,1,1,1,0,1.0,0.0
144,245,Bavaria,1826,7,7,0,7,0,7.0,7.0
145,337,Tuscany,1826,1,1,0,1,0,0.0,1.0
146,380,Sweden,1826,1,1,0,0,0,0.0,1.0
147,300,Austria-Hungary,1826,8,8,0,8,0,7.0,8.0
148,269,Saxony,1826,7,7,0,7,0,7.0,7.0
149,267,Baden,1826,7,7,0,7,0,7.0,7.0
150,271,Wuerttemburg,1826,7,7,0,7,0,7.0,7.0
151,200,United Kingdom,1826,2,2,1,1,0,1.0,1.0
152,273,Hesse Electoral,1826,7,7,0,7,0,7.0,7.0
153,255,Germany,1826,7,7,0,7,0,7.0,7.0
154,273,Hesse Electoral,1827,7,7,0,7,0,7.0,7.0
155,269,Saxony,1827,7,7,0,7,0,7.0,7.0
156,220,France,1827,2,0,0,0,0,0.0,2.0
157,300,Austria-Hungary,1827,8,8,0,8,0,7.0,8.0
158,267,Baden,1827,7,7,0,7,0,7.0,7.0
159,337,Tuscany,1827,1,1,0,1,0,0.0,1.0
160,235,Portugal,1827,1,1,1,1,0,1.0,0.0
161,275,Hesse Grand Ducal,1827,7,7,0,7,0,7.0,7.0
162,365,Russia,1827,2,0,0,0,0,0.0,2.0
163,245,Bavaria,1827,7,7,0,7,0,7.0,7.0
164,380,Sweden,1827,1,1,0,0,0,0.0,1.0
165,200,United Kingdom,1827,4,2,1,1,0,1.0,3.0
166,271,Wuerttemburg,1827,7,7,0,7,0,7.0,7.0
167,255,Germany,1827,7,7,0,7,0,7.0,7.0
168,255,Germany,1828,7,7,0,7,0,7.0,7.0
169,273,Hesse Electoral,1828,7,7,0,7,0,7.0,7.0
170,200,United Kingdom,1828,4,2,1,1,0,1.0,3.0
171,269,Saxony,1828,7,7,0,7,0,7.0,7.0
172,275,Hesse Grand Ducal,1828,7,7,0,7,0,7.0,7.0
173,245,Bavaria,1828,7,7,0,7,0,7.0,7.0
174,271,Wuerttemburg,1828,7,7,0,7,0,7.0,7.0
175,300,Austria-Hungary,1828,8,8,0,8,0,7.0,8.0
176,365,Russia,1828,2,0,0,0,0,0.0,2.0
177,235,Portugal,1828,1,1,1,1,0,1.0,0.0
178,267,Baden,1828,7,7,0,7,0,7.0,7.0
179,337,Tuscany,1828,1,1,0,1,0,0.0,1.0
180,380,Sweden,1828,1,1,0,0,0,0.0,1.0
181,220,France,1828,2,0,0,0,0,0.0,2.0
182,235,Portugal,1829,1,1,1,1,0,1.0,0.0
183,337,Tuscany,1829,1,1,0,1,0,0.0,1.0
184,271,Wuerttemburg,1829,7,7,0,7,0,7.0,7.0
185,365,Russia,1829,2,0,0,0,0,0.0,2.0
186,275,Hesse Grand Ducal,1829,7,7,0,7,0,7.0,7.0
187,269,Saxony,1829,7,7,0,7,0,7.0,7.0
188,273,Hesse Electoral,1829,7,7,0,7,0,7.0,7.0
189,267,Baden,1829,7,7,0,7,0,7.0,7.0
190,255,Germany,1829,7,7,0,7,0,7.0,7.0
191,220,France,1829,2,0,0,0,0,0.0,2.0
192,200,United Kingdom,1829,4,2,1,1,0,1.0,3.0
193,380,Sweden,1829,1,1,0,0,0,0.0,1.0
194,245,Bavaria,1829,7,7,0,7,0,7.0,7.0
195,300,Austria-Hungary,1829,8,8,0,8,0,7.0,8.0
196,267,Baden,1830,7,7,0,7,0,7.0,7.0
197,200,United Kingdom,1830,2,2,1,1,0,1.0,1.0
198,273,Hesse Electoral,1830,7,7,0,7,0,7.0,7.0
199,271,Wuerttemburg,1830,7,7,0,7,0,7.0,7.0
200,269,Saxony,1830,7,7,0,7,0,7.0,7.0
201,245,Bavaria,1830,7,7,0,7,0,7.0,7.0
202,275,Hesse Grand Ducal,1830,7,7,0,7,0,7.0,7.0
203,255,Germany,1830,7,7,0,7,0,7.0,7.0
204,337,Tuscany,1830,1,1,0,1,0,0.0,1.0
205,300,Austria-Hungary,1830,8,8,0,8,0,7.0,8.0
206,380,Sweden,1830,1,1,0,0,0,0.0,1.0
