,dispute_id,c_code_1,state_name_abb_a,c_code_2,state_name_abb_b,year,outcome,settlement_type,total_fatality_bin,num_with,num_against,revision_sought,revision_type,state_fatality_bin,hostility_level,origin_participant,war,year_num,cumulative_duration,ongoing_2010,date_start,date_end,initiator
3583,1793,666,ISR,652,SYR,1948,Victory for State A,Negotiated,"1,000+",5,1,0,N/A,"1,000+",5,1,1,1,171,0,1948-05-14,1948-10-31,0.0
3584,26,220,FRN,365,RUS,1948,N/A,N/A,None Value,1,3,0,N/A,None Value,4,1,0,1,286,0,1948-03-21,1949-07-25,0.0
3585,1793,652,SYR,666,ISR,1948,Victory for State B,Negotiated,"1,000+",5,1,1,Territory,"1,000+",5,1,1,1,171,0,1948-05-14,1948-10-31,1.0
3586,26,365,RUS,220,FRN,1948,N/A,N/A,None Value,1,3,1,Territory,None Value,4,1,0,1,286,0,1948-03-21,1949-07-25,1.0
3587,26,2,USA,365,RUS,1948,N/A,N/A,None Value,1,3,0,N/A,None Value,4,1,0,1,286,0,1948-03-21,1949-07-25,0.0
3588,1793,666,ISR,651,EGY,1948,Victory for State A,Negotiated,None Value,5,1,0,N/A,None Value,5,1,1,1,232,0,1948-05-14,1949-01-07,0.0
3589,2340,94,COS,93,NIC,1948,Stalemate,None Value,,1,1,0,N/A,,3,1,0,1,43,0,1948-04-19,1948-05-31,0.0
3590,2840,155,CHL,200,UKG,1948,Stalemate,None Value,None Value,2,2,1,Territory,None Value,4,1,0,1,50,0,1948-01-17,1948-03-06,0.0
3591,1793,666,ISR,660,LEB,1948,Victory for State A,Negotiated,"1,000+",5,1,0,N/A,"1,000+",5,1,1,1,171,0,1948-05-14,1948-10-31,0.0
3592,26,365,RUS,2,USA,1948,N/A,N/A,None Value,1,3,1,Territory,None Value,4,1,0,1,286,0,1948-03-21,1949-07-25,1.0
3593,1793,645,IRQ,666,ISR,1948,Victory for State B,Negotiated,"1,000+",5,1,1,Territory,501-999,5,1,1,1,162,0,1948-05-14,1948-10-22,1.0
3594,2840,160,ARG,385,NOR,1948,Stalemate,None Value,None Value,2,2,1,Territory,None Value,3,1,0,1,1,0,1948-03-04,1948-03-04,0.0
3595,2840,385,NOR,160,ARG,1948,Stalemate,None Value,None Value,2,2,0,N/A,None Value,1,0,0,1,1,0,1948-03-04,1948-03-04,1.0
3596,1284,350,GRC,339,ALB,1948,Stalemate,None Value,26-100,1,1,0,N/A,1-25,4,1,0,1,13,0,1948-08-01,1948-08-13,1.0
3597,1793,651,EGY,666,ISR,1948,N/A,N/A,None Value,5,1,1,Territory,None Value,5,1,1,1,232,0,1948-05-14,1949-01-07,1.0
3598,1238,770,PAK,750,IND,1948,Victory for State B,Negotiated,"1,000+",1,1,1,Territory,"1,000+",5,1,1,2,463,0,1947-09-26,1948-12-31,0.0
3599,1238,750,IND,770,PAK,1948,Victory for State A,Negotiated,"1,000+",1,1,0,N/A,"1,000+",5,1,1,2,463,0,1947-09-26,1948-12-31,1.0
3600,1793,663,JOR,666,ISR,1948,N/A,N/A,None Value,5,1,1,Territory,None Value,5,1,1,1,232,0,1948-05-14,1949-03-10,1.0
3601,1793,666,ISR,645,IRQ,1948,Victory for State A,Negotiated,"1,000+",5,1,0,N/A,"1,000+",5,1,1,1,162,0,1948-05-14,1948-10-22,0.0
3602,1793,666,ISR,663,JOR,1948,Victory for State A,Negotiated,None Value,5,1,0,N/A,None Value,5,1,1,1,232,0,1948-05-14,1949-03-10,0.0
3603,26,365,RUS,200,UKG,1948,N/A,N/A,None Value,1,3,1,Territory,None Value,4,1,0,1,286,0,1948-03-21,1949-07-25,1.0
3604,2020,800,THI,220,FRN,1948,Stalemate,None Value,None Value,1,1,0,N/A,None Value,1,1,0,1,93,0,1948-07-21,1948-10-21,0.0
3605,2020,220,FRN,800,THI,1948,Stalemate,None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,93,0,1948-07-21,1948-10-21,1.0
3606,2840,200,UKG,155,CHL,1948,Stalemate,None Value,None Value,2,2,0,N/A,None Value,3,1,0,1,50,0,1948-01-17,1948-03-06,1.0
