,c_code_1,state_name_1,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,iron_steel_prod,prim_energy_consumption,total_pop,urban_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_with,avg_against,avg_cum_duration,num_wars,origin_participant_pct,ongoing_2010,revision_pct,revision_type_mode,state_fatality_bin_mode,outcome_mode,settlement_type_mode,highest_mca_mode,highest_hostility_mode,total_protestant,total_catholic,total_christian,total_jewish,total_sunni,total_shia,total_islam,total_buddhist,total_hindu,total_sikh,total_shinto,total_non_religious,territory_change,territory_change_year,election_type,legislation_type,legislature_status,party_legal_status,party_existance,party_existance_outside_regime,legislature_parties,incumbent_type,collective_leadership,num_leadership_changes,leader_tenure,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,regime_type,transition_democracy,transition_dictatorship,age_govt,num_transitions_ever
10,145,Bolivia,1946,65.0,53700000.0,112510000.0,7052000.0,9000.0,0.0,168000000.0,2880000.0,311000.0,0.0006997,21.0,0.0,2.0,19.0,1.0,2.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,56456.0,2510940.0,2567396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,77.0,0.0
11,345,Yugoslavia,1946,65.0,339900000.0,459830000.0,301243000.0,159000.0,404000000.0,7904000000.0,15186000.0,876000.0,0.0053408,4.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,1.0,0.03287671232876712,0.0,1.0,0.0,0.0,0,0,5,3,19,4,140737.6,4994360.0,12114344.8,60183.6,0.0,0.0,1598792.8,0.0,0.0,0.0,0.0,1293026.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,1.0
12,900,Australia,1946,65.0,846060000.0,1241350000.0,1032619000.0,103000.0,2208000000.0,41020000000.0,7465000.0,3775000.0,0.010583799999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,1408273.2,1745222.2,7224305.8,27239.6,0.0,0.0,16798.0,9630.0,0.0,734.8,0.0,226968.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0
13,42,Dominican Republic,1946,65.0,110240000.0,122580000.0,3856000.0,7000.0,0.0,10000000.0,2030000.0,169000.0,0.00045089999999999996,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,32032.0,1897566.8,1929598.8,92.6,0.0,0.0,0.0,11.2,0.0,0.0,0.0,369.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,17.0,0.0
14,135,Peru,1946,65.0,172900000.0,206550000.0,26446000.0,38000.0,-272000000.0,2166000000.0,7420000.0,687000.0,0.0019487000000000003,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,0.0,6957360.0,6957360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0
15,385,Norway,1946,65.0,653500000.0,435220000.0,125392000.0,33000.0,116000000.0,7486000000.0,3107000.0,366000.0,0.0016512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,3081870.0,4874.6,3089020.2,614.4,0.0,0.0,179.6,0.0,0.0,0.0,0.0,23063.8,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,62.0,0.0
16,651,Egypt,1946,65.0,588300000.0,849190000.0,31998000.0,50000.0,-40000000.0,4046000000.0,18792000.0,3502000.0,0.0058118,7.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,61941.333333333336,171770.0,2967412.0,50563.2,15698188.0,0.0,15698188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,0.0
17,920,New Zealand,1946,65.0,444390000.0,528420000.0,153526000.0,9000.0,0.0,4434000000.0,1784000.0,361000.0,0.0011930999999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,642288.0,240922.4,1716357.0,3412.6,0.0,0.0,211.2,934.4,728.8,300.0,0.0,20852.4,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0
18,380,Sweden,1946,65.0,1569600000.0,1210580000.0,227619000.0,28000.0,2406000000.0,16650000000.0,6720000.0,1368000.0,0.0059234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,6454966.4,0.0,6454966.4,13922.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229830.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0
19,41,Haiti,1946,65.0,24900000.0,16400000.0,1940000.0,5000.0,0.0,-6000000.0,3140000.0,128000.0,0.0005155,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,310000.0,2628000.0,2938000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,77.0,0.0
