,year,c_code_1,state_name_1,total_protestant,total_catholic,total_christian,total_jewish,total_sunni,total_shia,total_islam,total_buddhist,total_hindu,total_sikh,total_shinto,total_non_religious
1870,1995,830,SIN,138998,155378,484916,671,0,0,578219,503449,180472,15819,838,158354
1871,2000,830,SIN,168093,191636,586418,300,0,0,598618,1708366,160911,15677,0,596065
1872,2005,830,SIN,217431,274932,758539,300,0,0,662809,1698436,209482,16620,0,599243
1873,2010,830,SIN,266768,358229,930663,300,0,0,727000,1688506,258053,17564,0,602421
1874,1985,835,BRU,4677,1702,19712,0,0,0,132980,23980,1670,0,0,1500
1875,1990,835,BRU,4800,5000,25450,0,0,0,154330,24800,2000,0,0,2600
1876,1995,835,BRU,4925,14685,32854,0,0,0,177600,29600,2394,0,0,3176
1877,2000,835,BRU,4917,14660,32798,0,0,0,219760,42640,0,0,0,3752
1878,2005,835,BRU,5696,16984,37997,30,0,0,254600,49400,0,0,0,4346
1879,2010,835,BRU,1853,5526,12362,30,0,0,335000,28848,0,0,0,4880
1880,1950,840,PHI,608250,17031000,18822682,330,0,0,826220,22100,0,3305,0,26499
1881,1955,840,PHI,707040,19785120,21937059,377,0,0,942720,29506,259,3772,0,45223
1882,1960,840,PHI,1354400,22483040,25233478,424,0,0,1083520,36912,517,4239,0,63947
1883,1965,840,PHI,1275240,27417660,29701787,470,0,0,1350642,44318,776,4705,0,82671
1884,1970,840,PHI,1467360,31915080,34409552,517,0,0,1617764,51724,1034,5172,0,101395
1885,1975,840,PHI,2103550,35260350,39122878,608,0,0,1913882,52862,1117,7551,0,127197
1886,1980,840,PHI,2415850,41111000,45065360,700,0,0,2210000,54000,1200,9931,0,153000
1887,1985,840,PHI,2733400,45575000,50587120,775,0,0,2642000,67000,1200,12310,0,226500
1888,1990,840,PHI,3079476,52258000,56991959,850,0,0,2828080,61480,1200,14689,0,300000
1889,1995,840,PHI,3339738,58529000,63749979,575,3513350,210801,3724151,83681,1770,17069,0,486154
1890,2000,840,PHI,3600000,64800000,70508000,300,3825500,229530,4055030,76510,0,0,0,490000
1891,2005,840,PHI,4212050,68235208,76584168,300,4212050,252723,4464773,96877,0,0,0,765751
1892,2010,840,PHI,7487470,76469863,84493445,300,4604898,460489,5113771,105000,0,0,0,858781
1893,1950,850,INS,2147526,1065809,3643913,0,0,0,57207360,637895,1646437,5313,0,117239
1894,1955,850,INS,3172515,1050000,5956471,25,0,0,63182960,818947,1823218,5228,0,374370
1895,1960,850,INS,4197504,1582080,7408000,50,0,0,73107440,1000000,2000000,5144,0,631502
1896,1965,850,INS,5222492,2114160,9153179,75,0,0,83189320,1047538,2155194,5059,0,888633
1897,1970,850,INS,6247481,2605082,12390965,100,0,0,94301600,1095077,2310389,4974,0,1145764
1898,1975,850,INS,7701390,3477541,15096666,100,0,0,101793120,1297538,2780194,5029,0,1656882
1899,1990,850,INS,10768980,6461388,19334118,0,149868311,1256381,151124692,1794830,2692245,5000,0,1100000
1900,1995,850,INS,13634490,6473694,21812609,0,163576155,1601090,165377245,1762215,3508122,5200,0,1300000
1901,2000,850,INS,16500000,6486000,24291100,0,177284000,1945800,179629800,1729600,4324000,5400,0,1500000
1902,2005,850,INS,16648600,6842400,24867812,0,188142000,1997900,190589900,1824640,3961700,8950,0,1650000
1903,2010,850,INS,16797200,7198800,25444526,0,199000000,2050000,201550000,1919680,3599400,12500,0,1800000
1904,2005,860,ETM,9920,962240,972160,0,0,0,7936,0,0,0,0,3770
1905,2010,860,ETM,16916,1088306,1105222,0,0,0,7894,1127,0,0,0,4365
1906,1945,900,AUL,1390251,1700160,7079273,25298,0,0,16499,9543,0,669,0,213616
1907,1950,900,AUL,1480362,1925471,7804437,35006,0,0,17994,9978,0,998,0,280376
1908,1955,900,AUL,1656000,2208000,8723353,48439,0,0,19624,10432,1229,1487,0,368000
1909,1960,900,AUL,1840500,2671500,9747250,52762,0,0,21254,10886,2458,1975,0,411000
1910,1965,900,AUL,2052923,2620000,10696019,57086,0,0,22884,11340,3686,2464,0,569400
1911,1970,900,AUL,1879811,2984847,11624696,61409,0,0,24514,11794,4915,2952,0,747865
1912,1975,900,AUL,1945020,3751110,12364770,138930,0,0,27257,11897,15186,2576,0,1302332
1913,1980,900,AUL,2084200,3785300,12732700,75400,0,0,30000,12000,25458,2200,0,1756800
1914,1985,900,AUL,2282100,4164680,13256330,79200,0,0,95000,76000,35729,5100,0,2120900
1915,1990,900,AUL,2480000,4685000,14059050,83000,0,0,160000,140000,46000,8000,0,2385000
1916,1995,900,AUL,2184300,4698720,14418100,88526,0,0,244308,250361,78619,15048,0,2822174
1917,2000,900,AUL,2282685,4810360,14578660,93000,0,0,308616,360723,111239,22097,0,3159348
1918,2005,900,AUL,2002561,5302700,14609098,96167,0,0,346715,428295,142765,33000,0,4486900
1919,2010,900,AUL,2017577,4340077,13150670,97335,0,0,476290,528977,180000,30000,0,6636435
1920,1975,910,PNG,1132320,727920,2615347,343,0,0,0,1562,0,0,0,1678
1921,1980,910,PNG,1244350,804700,2849420,380,0,0,300,2500,0,0,0,3200
1922,1985,910,PNG,1648500,900990,3183795,420,0,0,600,4000,0,0,0,6100
1923,1990,910,PNG,1849000,1035440,3513400,460,0,0,900,5500,0,0,0,9000
1924,1995,910,PNG,2017000,1181460,3891350,513,0,0,1094,6691,0,0,0,14539
1925,2000,910,PNG,2884200,1297890,4614720,0,0,0,4000,2000,0,0,0,25000
1926,2005,910,PNG,3670800,1651860,5873280,0,0,0,5090,2545,0,0,0,31818
1927,2010,910,PNG,4132132,1859459,6611410,813,0,0,1832,2865,0,0,0,35816
1928,1945,920,NEW,639360,231153,1680548,3493,0,0,189,918,661,300,0,18939
1929,1950,920,NEW,654000,280000,1859593,3091,0,0,300,1000,1000,300,0,28506
1930,1955,920,NEW,732100,341760,2069282,3267,0,0,475,1089,1699,300,0,46130
1931,1960,920,NEW,800200,393000,2264441,3443,0,0,649,1178,2398,299,0,63755
1932,1965,920,NEW,873520,420480,2507639,3619,0,0,824,1266,3096,299,0,81379
1933,1970,920,NEW,849176,424768,2681122,3795,0,0,998,1355,3795,298,0,99003
1934,1975,920,NEW,863240,493280,2873329,4097,0,0,1099,1447,4107,304,0,168706
1935,1980,920,NEW,809380,526220,2836440,4400,0,0,1200,1540,4420,309,0,238410
1936,1985,920,NEW,811750,474000,2852040,4500,0,0,3500,14120,11110,315,0,337735
1937,1990,920,NEW,840000,470000,2830080,4600,0,0,5800,26700,17800,320,0,437060
1938,1995,920,NEW,814660,531300,2698123,4462,0,0,21630,43473,46554,4022,0,672980
1939,2000,920,NEW,699119,582951,2535249,7500,0,0,35000,41709,60000,7724,0,1033471
1940,2005,920,NEW,655733,637907,2235307,4445,0,0,46326,86935,82063,9392,0,1620169
1941,2010,920,NEW,692769,673936,2361557,4696,0,0,48943,91846,86698,9922,0,1711677
1942,1985,935,VAN,62560,19000,123960,0,0,0,0,139,0,0,0,468
1943,1990,935,VAN,70000,20160,130480,0,0,0,0,200,0,0,0,550
1944,1995,935,VAN,80150,24750,149450,0,0,0,0,287,0,0,0,646
1945,2000,935,VAN,114000,28500,165300,0,0,0,0,374,0,0,0,5800
1946,2005,935,VAN,122640,28470,179580,0,0,0,0,440,0,0,0,7500
1947,2010,935,VAN,140012,28968,205190,0,0,0,0,476,0,0,0,8000
1948,1980,940,SOL,74910,41000,216760,0,0,0,165,767,0,0,0,400
1949,1985,940,SOL,94500,51300,253800,0,0,0,269,897,0,0,0,530
1950,1990,940,SOL,128000,60800,304000,0,0,0,440,1050,0,0,0,660
1951,1995,940,SOL,151200,71500,358780,0,0,0,717,1228,0,0,0,954
1952,2000,940,SOL,168720,84360,408480,0,0,0,1000,1500,0,0,0,1200
1953,2005,940,SOL,184742,92371,447270,0,0,0,1094,1642,0,0,0,1313
1954,2010,940,SOL,203882,101941,482878,0,0,0,1700,1750,0,0,0,1700
1955,2000,946,KIR,42420,55550,97970,0,0,0,0,13,0,0,0,500
1956,2005,946,KIR,37720,50600,88320,0,0,0,0,24,0,0,0,700
1957,2010,946,KIR,42230,56650,98880,0,0,0,0,13,0,0,0,1030
1958,2000,947,TUV,10340,110,10450,0,0,0,0,0,0,0,0,200
1959,2005,947,TUV,9600,100,9700,0,0,0,10,0,0,0,0,150
1960,2010,947,TUV,9664,100,9764,0,0,0,10,0,0,0,0,70
1961,1970,950,FIJ,187302,43420,262522,0,0,0,40404,0,208798,3193,0,2553
1962,1975,950,FIJ,206000,49560,288710,0,0,0,44902,0,227000,3546,0,3200
1963,1980,950,FIJ,225500,55700,315460,0,0,0,49400,0,259000,3900,0,4100
1964,1985,950,FIJ,250920,63850,350700,0,0,0,50000,0,278800,4200,0,6550
1965,1990,950,FIJ,306500,72000,415840,100,0,0,50600,0,243000,4500,0,9000
1966,1995,950,FIJ,366160,71640,485735,104,0,0,47760,0,238800,4378,0,8594
1967,2000,950,FIJ,350000,85000,449482,0,0,0,54323,0,264163,4500,0,10500
1968,2005,950,FIJ,355000,86000,448500,111,0,0,57750,0,247500,4700,0,12500
1969,2010,950,FIJ,420000,105000,549963,0,0,0,51559,0,240609,4200,0,9042
1970,2000,955,TON,45100,17600,89100,0,0,0,0,132,110,0,0,372
1971,2005,955,TON,46084,17984,91044,0,0,0,0,123,103,0,0,380
1972,2010,955,TON,46119,13626,98745,0,0,0,0,126,105,0,0,454
1973,2000,970,NAU,8710,4160,12870,0,0,0,0,0,0,0,0,0
1974,2005,970,NAU,8450,4160,12610,0,0,0,0,200,0,0,0,0
1975,2010,970,NAU,6459,3179,9638,0,0,0,0,0,0,0,0,0
1976,1995,983,MSI,47000,3440,53240,0,0,0,0,0,0,0,0,520
1977,2000,983,MSI,51200,5200,57400,0,0,0,0,0,0,0,0,850
1978,2005,983,MSI,43200,4320,51347,0,0,0,0,0,0,0,0,773
1979,2010,983,MSI,42561,4910,50971,0,0,0,0,0,0,0,0,1200
1980,1995,986,PAL,4500,7570,12470,0,0,0,340,170,20,0,0,340
1981,2000,986,PAL,3370,11500,15570,0,0,0,450,162,24,0,0,50
1982,2005,986,PAL,3300,12300,18100,0,0,0,500,150,0,0,0,300
1983,2010,986,PAL,3700,12891,18391,0,0,0,470,182,27,0,0,326
1984,1995,987,FSM,45150,52500,97966,0,0,0,0,550,0,0,0,852
1985,2000,987,FSM,44810,51230,100952,0,0,0,0,622,0,0,0,3056
1986,2005,987,FSM,41045,44555,90100,0,0,0,0,570,0,0,0,2800
1987,2010,987,FSM,33500,57500,96000,0,0,0,0,650,0,0,0,3500
1988,1980,990,WSM,92040,23000,151290,0,0,0,27,12,0,0,0,1300
1989,1985,990,WSM,94200,23150,152325,0,0,0,32,13,0,0,0,1300
1990,1990,990,WSM,98400,24600,159500,0,0,0,37,15,0,0,0,1200
1991,1995,990,WSM,99000,26000,161677,0,0,0,43,16,0,0,0,1084
1992,2000,990,WSM,138600,36000,174600,0,0,0,50,18,0,0,0,1500
1993,2005,990,WSM,140910,36600,177510,0,0,0,58,18,0,0,0,1525
1994,2010,990,WSM,139757,35883,180140,0,0,0,61,19,0,0,0,2750
