,state_name_1,c_code_1,year,military_expenditure,military_personnel,iron_steel_prod,prim_energy_consumption,total_pop,urban_pop,cinc_score
57,Netherlands,210,1818,2298000.0,27000.0,100000000.0,2518000000.0,5721000.0,346000.0,0.0404779
58,United States of America,2,1818,1910000.0,14000.0,180000000.0,604000000.0,9139000.0,112000.0,0.0361265
59,Hesse Grand Ducal,275,1818,,8000.0,0.0,,637000.0,0.0,0.0019039000000000003
60,Austria-Hungary,300,1818,5948000.0,182000.0,140000000.0,200000000.0,30057000.0,660000.0,0.09082989999999999
61,Russia,365,1818,8833000.0,600000.0,254000000.0,28000000.0,47200000.0,263000.0,0.15421279999999998
62,France,220,1818,8042000.0,138000.0,254000000.0,2030000000.0,29880000.0,882000.0,0.11519469999999998
63,Switzerland,225,1818,,0.0,0.0,18000000.0,1924000.0,0.0,0.0017942
64,Italy,325,1818,867000.0,39000.0,0.0,0.0,3830000.0,0.0,0.009531
65,Tuscany,337,1818,104000.0,4000.0,0.0,,1143000.0,0.0,0.0019055999999999997
66,Spain,230,1818,4681000.0,126000.0,20000000.0,0.0,11241000.0,234000.0,0.0440298
67,Two Sicilies,329,1818,,27000.0,0.0,,6730000.0,472000.0,0.030108999999999997
68,Papal States,327,1818,,4000.0,0.0,,2381000.0,147000.0,0.009042399999999999
69,Papal States,327,1819,,5000.0,0.0,,2395000.0,146000.0,0.0089553
70,Hesse Electoral,273,1819,,9000.0,0.0,76000000.0,576000.0,0.0,0.0017634
71,Spain,230,1819,4552000.0,127000.0,20000000.0,0.0,11326000.0,241000.0,0.0427772
72,Sweden,380,1819,,54000.0,140000000.0,14000000.0,3511000.0,0.0,0.0246987
73,United Kingdom,200,1819,12453000.0,143000.0,560000000.0,48000000000.0,20389000.0,2109000.0,0.3172054
74,Wuerttemburg,271,1819,173000.0,6000.0,0.0,,1411000.0,0.0,0.0025828
75,Saxony,269,1819,,13000.0,0.0,,1232000.0,0.0,0.0031395
76,Tuscany,337,1819,109000.0,3000.0,0.0,,1159000.0,0.0,0.001782
77,Germany,255,1819,3756000.0,130000.0,100000000.0,2400000000.0,10981000.0,201000.0,0.05374630000000001
78,Switzerland,225,1819,,0.0,0.0,16000000.0,1937000.0,0.0,0.0017769
79,Baden,267,1819,,10000.0,0.0,,1032000.0,0.0,0.0025085999999999997
80,Two Sicilies,329,1819,,35000.0,0.0,,6811000.0,476000.0,0.030638599999999995
81,Bavaria,245,1819,760000.0,,20000000.0,64000000.0,3744000.0,0.0,0.0087549
82,France,220,1819,9747000.0,182000.0,266000000.0,2114000000.0,30060000.0,894000.0,0.12446310000000001
83,Hesse Grand Ducal,275,1819,,8000.0,0.0,,644000.0,0.0,0.0018053000000000001
84,Portugal,235,1819,,22000.0,0.0,0.0,2813000.0,185000.0,0.0105893
85,Denmark,390,1819,,29000.0,0.0,44000000.0,1804000.0,0.0,0.004921
86,Austria-Hungary,300,1819,5525000.0,242000.0,140000000.0,200000000.0,30349000.0,663000.0,0.0930578
87,United States of America,2,1819,2301000.0,13000.0,180000000.0,586000000.0,9379000.0,118000.0,0.0371333
88,Italy,325,1819,893000.0,39000.0,0.0,0.0,3865000.0,0.0,0.009310200000000001
89,Turkey,640,1819,,141000.0,0.0,2000000.0,26128000.0,819000.0,0.0637841
90,Netherlands,210,1819,2004000.0,27000.0,100000000.0,2644000000.0,5788000.0,350000.0,0.039386199999999996
91,Russia,365,1819,8942000.0,596000.0,264000000.0,28000000.0,47900000.0,298000.0,0.1510114
92,Switzerland,225,1820,,0.0,0.0,16000000.0,1950000.0,0.0,0.0017658
93,Wuerttemburg,271,1820,162000.0,6000.0,0.0,,1426000.0,0.0,0.0024826
94,Netherlands,210,1820,1941000.0,27000.0,120000000.0,2776000000.0,5845000.0,355000.0,0.0401098
95,Austria-Hungary,300,1820,6175000.0,258000.0,140000000.0,200000000.0,30643000.0,666000.0,0.0931703
96,Tuscany,337,1820,112000.0,3000.0,0.0,,1172000.0,0.0,0.0017675
97,Baden,267,1820,,10000.0,0.0,,1051000.0,0.0,0.0023734999999999997
98,Saxony,269,1820,,13000.0,0.0,,1247000.0,0.0,0.0029548
99,Denmark,390,1820,,28000.0,0.0,48000000.0,1819000.0,0.0,0.004497600000000001
100,Turkey,640,1820,,161000.0,0.0,2000000.0,26448000.0,827000.0,0.0638359
101,Germany,255,1820,3714000.0,130000.0,100000000.0,2600000000.0,11272000.0,203000.0,0.052319500000000005
102,Russia,365,1820,9317000.0,772000.0,270000000.0,28000000.0,48600000.0,338000.0,0.16096470000000002
103,Hesse Grand Ducal,275,1820,,8000.0,0.0,,653000.0,0.0,0.0016929000000000002
104,Bavaria,245,1820,722000.0,,20000000.0,66000000.0,3780000.0,0.0,0.0084735
105,Italy,325,1820,908000.0,41000.0,0.0,0.0,3901000.0,0.0,0.0092055
106,Two Sicilies,329,1820,,42000.0,0.0,,6892000.0,479000.0,0.0307145
107,Papal States,327,1820,,4000.0,0.0,,2408000.0,146000.0,0.0086238
108,Portugal,235,1820,,22000.0,0.0,0.0,2836000.0,187000.0,0.010267700000000001
109,United States of America,2,1820,1556000.0,15000.0,220000000.0,606000000.0,9618000.0,124000.0,0.037086900000000006
110,United Kingdom,200,1820,11748000.0,144000.0,640000000.0,48996000000.0,20686000.0,2163000.0,0.3165308
111,Sweden,380,1820,,,140000000.0,16000000.0,3543000.0,0.0,0.0219024
112,Hesse Electoral,273,1820,,9000.0,0.0,80000000.0,584000.0,0.0,0.0016692
113,France,220,1820,9414000.0,208000.0,280000000.0,2200000000.0,30250000.0,906000.0,0.12334280000000002
114,Spain,230,1820,4406000.0,146000.0,20000000.0,0.0,11411000.0,248000.0,0.0427953
115,Russia,365,1821,9654000.0,949000.0,318000000.0,28000000.0,49300000.0,384000.0,0.1738877
116,Austria-Hungary,300,1821,7864000.0,273000.0,144000000.0,200000000.0,30940000.0,669000.0,0.0985494
117,Papal States,327,1821,,2000.0,0.0,,2421000.0,146000.0,0.0082145
118,Baden,267,1821,,10000.0,0.0,,1073000.0,0.0,0.0022655
119,Sweden,380,1821,,,138000000.0,16000000.0,3582000.0,0.0,0.019933000000000003
120,Hesse Electoral,273,1821,,9000.0,0.0,86000000.0,591000.0,0.0,0.0015972000000000002
121,Hesse Grand Ducal,275,1821,,8000.0,0.0,,662000.0,0.0,0.0015998
122,Italy,325,1821,931000.0,43000.0,20000000.0,0.0,3938000.0,0.0,0.0108699
123,United States of America,2,1821,1612000.0,11000.0,200000000.0,642000000.0,9939000.0,130000.0,0.0341731
124,Two Sicilies,329,1821,,49000.0,0.0,,6974000.0,483000.0,0.0307325
125,Tuscany,337,1821,117000.0,3000.0,0.0,,1189000.0,0.0,0.0017952999999999999
126,Wuerttemburg,271,1821,150000.0,6000.0,0.0,,1444000.0,0.0,0.0024222
127,Saxony,269,1821,,14000.0,0.0,,1262000.0,0.0,0.0029116999999999997
128,France,220,1821,8429000.0,198000.0,320000000.0,2340000000.0,30450000.0,919000.0,0.12044280000000002
129,Denmark,390,1821,,26000.0,0.0,50000000.0,1833000.0,0.0,0.0040525
130,Switzerland,225,1821,,0.0,0.0,18000000.0,1963000.0,0.0,0.0017612
131,United Kingdom,200,1821,10225000.0,139000.0,780000000.0,50018000000.0,21008000.0,2218000.0,0.3173411
132,Bavaria,245,1821,660000.0,,20000000.0,70000000.0,3817000.0,0.0,0.0082195
133,Turkey,640,1821,,181000.0,0.0,2000000.0,26772000.0,836000.0,0.0637889
134,Spain,230,1821,1692000.0,165000.0,20000000.0,0.0,11498000.0,255000.0,0.034272199999999996
135,Germany,255,1821,3691000.0,130000.0,78000000.0,2800000000.0,11481000.0,206000.0,0.0499722
136,Portugal,235,1821,,22000.0,0.0,0.0,2859000.0,189000.0,0.009982799999999998
137,Netherlands,210,1821,1732000.0,27000.0,120000000.0,2916000000.0,5898000.0,359000.0,0.0387039
138,Denmark,390,1822,,28000.0,0.0,52000000.0,1848000.0,0.0,0.0040584
139,Netherlands,210,1822,1702000.0,27000.0,120000000.0,3062000000.0,5940000.0,363000.0,0.0391896
140,Russia,365,1822,8796000.0,1001000.0,306000000.0,28000000.0,50100000.0,436000.0,0.1732704
141,Austria-Hungary,300,1822,7066000.0,273000.0,144000000.0,200000000.0,31240000.0,671000.0,0.0960732
142,Wuerttemburg,271,1822,153000.0,6000.0,0.0,,1459000.0,0.0,0.0024316
143,Brazil,140,1822,,,,,4573000.0,0.0,0.0095885
144,Sweden,380,1822,,,138000000.0,16000000.0,3627000.0,0.0,0.020250099999999997
145,Bavaria,245,1822,675000.0,,20000000.0,74000000.0,3854000.0,0.0,0.0084949
146,United Kingdom,200,1822,9335000.0,125000.0,720000000.0,51034000000.0,21339000.0,2274000.0,0.31113029999999997
147,Hesse Electoral,273,1822,,9000.0,0.0,90000000.0,599000.0,0.0,0.00155
148,Portugal,235,1822,,25000.0,0.0,0.0,2882000.0,191000.0,0.0100004
149,Turkey,640,1822,,200000.0,0.0,2000000.0,27100000.0,845000.0,0.0637465
150,Italy,325,1822,967000.0,56000.0,20000000.0,0.0,3974000.0,0.0,0.011979799999999999
